,UMPA1,UMAP2,timepoint
2205194,-2.069403,8.894663,tp0
2205324,-1.247994,11.664135,tp0
2205457,9.248421,7.1489854,tp0
2205507,3.2586489,8.925473,tp0
2205514,1.6256311,9.3366585,tp0
2205637,-2.10665,8.509098,tp0
2205751,-2.0825942,11.148925,tp0
2205772,1.0482259,8.43524,tp0
2206004,9.311326,6.6408205,tp0
2206126,-0.69268805,8.456336,tp0
2206217,1.9277759,8.14224,tp0
2206218,9.840558,5.730532,tp0
2206250,0.96167946,9.293776,tp0
2206274,8.281807,7.4090095,tp0
2206331,10.124077,6.8543763,tp0
2206340,-2.3172946,7.7559643,tp0
2206353,-2.813428,8.947414,tp0
2206425,-0.61750525,10.401565,tp0
2206483,-0.5758721,11.252916,tp0
2206543,-2.6564708,8.619997,tp0
2206636,9.706264,8.5466585,tp0
2206650,8.027189,8.125891,tp0
2206710,9.937983,4.7484713,tp0
2206764,-0.27419248,8.034458,tp0
2206853,-1.7614962,9.217315,tp0
2206962,9.747112,8.837104,tp0
2206985,8.405714,8.545368,tp0
2207049,4.3063164,8.444097,tp0
2207060,0.8138824,7.3476067,tp0
2207069,6.206039,8.525721,tp0
2207110,-0.45694342,11.211337,tp0
2207113,1.7231021,8.707923,tp0
2207133,-1.6472415,9.9062605,tp0
2207177,-1.6060879,8.484778,tp0
2207196,-2.4150782,9.73626,tp0
2207208,-0.90969545,11.274309,tp0
2207222,8.870062,8.463801,tp0
2207264,-1.3566878,10.15353,tp0
2207328,8.212426,7.6467495,tp0
2207357,0.59647316,11.184133,tp0
2207389,9.700069,7.09949,tp0
2207406,-0.19369666,9.383535,tp0
2207439,9.312701,6.543819,tp0
2207448,-2.3089056,11.054742,tp0
2207450,-2.678482,10.594513,tp0
2207531,-2.7881272,8.959602,tp0
2207570,7.2960563,8.00161,tp0
2207576,9.7833605,8.817999,tp0
2207763,-2.3263364,10.538459,tp0
2207765,-1.7309337,8.358294,tp0
2207819,-1.622398,7.726533,tp0
2207943,-0.2965776,10.093642,tp0
2207960,-0.81407976,9.274199,tp0
2207986,7.44865,8.641182,tp0
2208009,1.209807,8.1805315,tp0
2208109,-0.012397004,10.735655,tp0
2208142,1.923861,9.76785,tp0
2208241,-0.32836676,8.172187,tp0
2208327,-0.7269556,6.9613366,tp0
2208351,0.98561156,10.078147,tp0
2208394,9.162566,8.165021,tp0
2208461,-0.31530806,7.423413,tp0
2208475,2.1071305,11.0884075,tp0
2208486,2.4439945,10.401758,tp0
2208547,0.01098126,10.841423,tp0
2208663,-2.5121448,10.042924,tp0
2208777,0.3524623,8.092563,tp0
2208920,-2.0611353,9.481956,tp0
2208966,2.9177518,10.384133,tp0
2208978,-1.042149,10.020373,tp0
2209104,6.4684296,9.304777,tp0
2209154,8.090854,7.9835286,tp0
2209160,0.2020555,9.655812,tp0
2209179,-1.9826576,11.564603,tp0
2209251,10.267659,8.695103,tp0
2209296,-2.6110559,8.846795,tp0
2209342,-2.276283,11.056168,tp0
2209468,-2.5342546,8.545371,tp0
2209497,5.355853,8.206339,tp0
2209553,-2.0978544,11.135758,tp0
2209598,3.8531997,8.697836,tp0
2209626,-1.4236423,12.105855,tp0
2209691,5.71161,8.053035,tp0
2209694,10.679693,7.8088346,tp0
2209729,7.0700912,8.768097,tp0
2209773,1.3013061,10.861527,tp0
2209800,-2.8065457,9.624038,tp0
2209844,0.59817773,8.426573,tp0
2209945,0.8279078,6.9811206,tp0
2209958,9.161934,8.809451,tp0
2210097,8.373861,7.2681932,tp0
2210102,10.03984,7.3533063,tp0
2210188,8.127696,7.348619,tp0
2210411,0.28741947,8.670804,tp0
2210477,1.7192413,8.491555,tp0
2210484,-1.6436428,8.95962,tp0
2210612,11.948197,5.735519,tp0
2210645,0.18916929,10.27126,tp0
2210776,-0.14610568,10.176536,tp0
2210827,-0.344865,10.192845,tp0
2210892,-1.7933879,11.845313,tp0
2210910,-2.2204256,11.459569,tp0
2210937,6.6589932,7.5575147,tp0
2211018,1.4307024,7.7641387,tp0
2211061,-0.30073202,10.318102,tp0
2211093,8.293538,9.090409,tp0
2211144,10.065801,5.928405,tp0
2211163,-2.7590826,8.978336,tp0
2211249,2.768664,9.152707,tp0
2211287,3.913446,7.951701,tp0
2211288,-1.7968444,11.494285,tp0
2211330,-2.4197605,10.66675,tp0
2211410,-2.5111208,10.588337,tp0
2211441,9.950941,4.626841,tp0
2211452,3.3862116,10.462841,tp0
2211511,1.3863178,7.6265287,tp0
2211635,-0.9519331,9.710454,tp0
2211660,-2.816304,8.833076,tp0
2211663,-2.5850449,7.9334836,tp0
2211672,-0.97746825,8.457829,tp0
2211706,0.99829113,11.070669,tp0
2211719,3.1960776,9.297853,tp0
2211732,-2.7226517,10.301725,tp0
2211756,-2.3587675,9.792833,tp0
2211757,-0.3283269,9.105519,tp0
2211848,-0.31550854,11.259197,tp0
2211904,-2.4277995,7.7417154,tp0
2211945,-0.61341,7.8285747,tp0
2212106,0.56743395,11.895407,tp0
2212119,8.829863,7.4021254,tp0
2212141,-2.5323021,7.9128695,tp0
2212220,0.2298947,7.6127357,tp0
2212248,0.38548252,11.610118,tp0
2212256,-2.7338927,9.108494,tp0
2212286,11.041141,4.4073257,tp0
2212303,-1.4906315,7.598326,tp0
2212304,-1.290089,9.767303,tp0
2212320,7.2172523,9.124669,tp0
2212332,-1.6080973,11.335196,tp0
2212385,-2.1070602,9.187653,tp0
2212403,-2.0795999,7.7643766,tp0
2212412,7.8273125,9.175118,tp0
2212421,-0.7962754,9.0728245,tp0
2212453,-1.7595154,7.1377044,tp0
2212552,-2.7209282,9.798572,tp0
2212634,8.827069,7.8242173,tp0
2212728,1.0366434,7.3122015,tp0
2212754,-1.052272,7.5047555,tp0
2212801,-1.9230913,11.928108,tp0
2212806,7.5116525,9.498369,tp0
2212834,-1.7034734,10.035078,tp0
2212907,-2.2844708,7.8988523,tp0
2212940,-2.054663,10.797956,tp0
2212960,-2.670489,9.065002,tp0
2212982,-2.4524846,9.235532,tp0
2213100,-2.2913735,10.000929,tp0
2213120,-0.8949317,11.858665,tp0
2213144,-1.4114445,7.713364,tp0
2213263,-1.1633826,12.029815,tp0
2213264,1.2403384,9.941843,tp0
2213367,3.054982,10.744767,tp0
2213438,8.385782,9.066327,tp0
2213454,-2.4895484,11.092517,tp0
2213578,9.704458,8.667851,tp0
2213580,10.280543,8.09237,tp0
2213593,1.9901205,10.404108,tp0
2213676,10.745139,8.392992,tp0
2213866,-1.2643852,11.941038,tp0
2213900,-1.8051937,11.065639,tp0
2213908,9.488051,7.2675343,tp0
2214018,4.9240155,8.254099,tp0
2214046,-0.56899935,7.716894,tp0
2214064,9.883996,6.6911874,tp0
2214151,-0.48041928,10.760664,tp0
2214153,2.174316,7.4394975,tp0
2214160,-1.5775492,10.708083,tp0
2214258,-1.127596,7.302138,tp0
2214468,9.639165,6.289692,tp0
2214529,10.488223,8.147353,tp0
2214592,1.6167432,11.666663,tp0
2214593,10.418218,6.184694,tp0
2214624,-1.1769159,10.935552,tp0
2214628,-0.9626699,11.412767,tp0
2214648,1.2054293,7.4397116,tp0
2214745,5.4663014,9.391149,tp0
2214761,-2.5399642,10.480932,tp0
2214824,8.322947,8.319517,tp0
2214832,4.184837,8.02341,tp0
2214856,6.4622526,8.714111,tp0
2214902,-1.8295182,9.659004,tp0
2214908,9.401603,9.32914,tp0
2214910,-0.5184242,10.097826,tp0
2214935,1.7756258,7.309958,tp0
2215002,8.386633,7.2993436,tp0
2215008,10.680784,7.091651,tp0
2215053,-2.4256384,10.100924,tp0
2215093,0.029891817,9.262674,tp0
2215123,6.3557653,9.46561,tp0
2215192,-2.1143572,11.482294,tp0
2215279,-1.2436246,7.2317443,tp0
2215317,0.52651393,10.243113,tp0
2215318,1.4664309,7.134698,tp0
2215325,-0.9109448,11.3931675,tp0
2215497,5.9375343,9.131759,tp0
2215526,-1.5103754,10.749969,tp0
2215539,10.8623,5.7869997,tp0
2215564,-0.83013594,10.590764,tp0
2215578,7.481659,7.941069,tp0
2215647,8.956121,7.924094,tp0
2215703,-1.5801451,11.9429655,tp0
2215757,1.5839458,8.84206,tp0
2215806,-0.5503722,8.994691,tp0
2215856,1.7863371,11.296474,tp0
2215928,3.3315246,9.594159,tp0
2215961,8.809832,8.598962,tp0
2216107,4.4179707,9.324991,tp0
2216155,8.545978,8.298777,tp0
2216203,0.6394996,11.682217,tp0
2216311,8.113074,8.199662,tp0
2216591,-1.4723468,11.432642,tp0
2216688,-1.087163,9.991076,tp0
2216753,0.6025216,8.486668,tp0
2216877,10.256864,5.541667,tp0
2216971,0.97735953,10.865429,tp0
2216997,-0.39585283,8.546236,tp0
2217037,0.432543,11.124837,tp0
2217085,0.03480413,12.148434,tp0
2217261,-0.8272664,7.365108,tp0
2217270,-1.8468407,11.763435,tp0
2217303,-0.22386552,11.743598,tp0
2217333,-1.210177,9.491039,tp0
2217344,-1.67344,7.1487026,tp0
2217352,7.3743124,7.9053245,tp0
2217359,-1.3291953,7.0280695,tp0
2217435,0.14611794,7.84896,tp0
2217475,-0.9732205,10.599397,tp0
2217565,-2.553269,10.897979,tp0
2217644,6.9931803,7.287343,tp0
2217653,7.870737,8.3212595,tp0
2217656,9.911493,7.5197964,tp0
2217666,-2.5646763,8.000246,tp0
2217714,-0.80166304,7.9561715,tp0
2217735,-2.3763375,11.265203,tp0
2217742,0.23923557,9.565938,tp0
2217770,2.600642,8.922382,tp0
2217845,8.583876,6.4812026,tp0
