"","x"
"878","21143347"
"879","21193227"
"880","21192564"
"881","21011757"
"882","20998178"
"883","20974731"
"884","21033902"
"885","20993794"
"886","21103733"
"887","21066841"
"888","21163220"
"889","20929081"
"890","21118808"
"891","21136347"
"892","20970114"
"893","20975027"
"894","21083470"
"895","20999520"
"896","20955871"
"897","21105367"
"898","20968687"
"899","21115805"
"900","21153610"
"901","21194511"
"902","21053113"
"903","21051041"
"904","21141881"
"905","21122589"
"906","21190176"
"907","21067366"
"908","21023635"
"909","20973874"
"910","20953248"
"911","21124176"
"912","21180601"
"913","20955793"
"914","21053684"
"915","21080823"
"916","21142471"
"917","21088937"
"918","21177061"
"919","14504181"
"920","21104074"
"921","21176323"
"922","21093808"
"923","21097063"
"924","21157767"
"925","20923023"
"926","21142557"
"927","21097568"
"928","21074389"
"929","20936406"
"930","21083057"
"931","21158527"
"932","21154621"
"933","21110762"
"934","21107023"
"935","21152214"
"936","21072585"
"937","21088057"
"938","20946331"
"939","21197754"
"940","21003044"
"941","20988954"
"942","21126872"
"943","21194249"
"944","20964786"
"945","21078620"
"946","21191175"
"947","20939756"
"948","21185406"
"949","20951999"
"950","20952501"
"951","21040454"
"952","21011147"
"953","21079969"
"954","20942676"
"955","20935873"
"956","21060233"
"957","21065523"
"958","20936966"
"959","21189055"
"960","21125096"
"961","21042788"
"962","21031435"
"963","20963522"
"964","21123683"
"965","21147574"
"966","21069387"
"967","21009805"
"968","21109964"
"969","20922156"
"970","21088336"
"971","21035941"
"972","21178558"
"973","21179523"
"974","21179920"
"975","20987468"
"976","20978396"
"977","21110187"
"978","21160631"
"979","21195713"
"980","21138950"
"981","20992837"
"982","21024174"
"983","21100582"
"984","20987167"
"985","20981004"
"986","21030696"
"987","21130250"
"988","20988949"
"989","20964262"
"990","21009180"
"991","21091349"
"992","21196040"
"993","21084344"
"994","21197244"
"995","21108346"
"996","21148847"
"997","21179270"
"998","20945841"
"999","21115602"
"1000","21125366"
"1001","21154282"
"1002","21137943"
"1003","21114617"
"1004","21178873"
"1005","21048160"
"1006","21120028"
"1007","21050898"
"1008","21039905"
"1009","21013926"
"1010","20957177"
"1011","21036895"
"1012","21148865"
"1013","20953465"
"1014","21108394"
"1015","21010151"
"1016","21061785"
"1017","21004162"
"1018","21198843"
"1019","21059194"
"1020","20964297"
"1021","21106794"
"1022","21023871"
"1023","21058092"
"1024","21160984"
"1025","20972628"
"1026","20985262"
"1027","21133410"
"1028","20941697"
"1029","21023599"
"1030","20963354"
"1031","20957473"
"1032","21017988"
"1033","21105484"
"1034","21156321"
"1035","20931076"
"1036","21002417"
"1037","21172921"
"1038","20937008"
"1039","20923008"
"1040","20996233"
"1041","21049550"
"1042","20981714"
"1043","21075324"
"1044","20978752"
"1045","21017267"
"1046","20925369"
"1047","21075662"
"1048","21140965"
"1049","21196063"
"1050","21195143"
"1051","20966562"
"1052","21051285"
"1053","20979136"
"1054","21144568"
"1055","21109764"
"1056","20933509"
"1057","21080740"
"1058","21133054"
"1059","21019797"
"1060","21058269"
"1061","21063830"
"1062","21003861"
"1063","20966732"
"1064","20948862"
"1065","21060457"
"1066","21015303"
"1067","20998796"
"1068","20964912"
"1069","21173428"
"1070","20964079"
"1071","20980418"
"1072","20929525"
"1073","20972007"
"1074","20997100"
"1075","20934493"
"1076","20945571"
"1077","21159148"
"1078","21031096"
"1079","21081367"
"1080","20976264"
"1081","21001294"
"1082","21154716"
"1083","21021199"
"1084","21132464"
"1085","21116708"
"1086","20935006"
"1087","20926775"
"1088","21021462"
"1089","20990449"
"1090","21083070"
"1091","21194399"
"1092","21024798"
"1093","20992339"
"1094","21058909"
"1095","21036660"
"1096","20931817"
"1097","21191189"
"1098","21146848"
"1099","21163581"
"1100","21011976"
"1101","21094971"
"1102","21122700"
"1103","21143407"
"1104","21133933"
"1105","20985370"
"1106","21105017"
"1107","20980175"
"1108","21142422"
"1109","21036861"
"1110","21097211"
"1111","21151034"
"1112","21165875"
"1113","21003041"
"1114","21043633"
"1115","21017803"
"1116","20941405"
"1117","20949204"
"1118","21097739"
"1119","21120091"
"1120","21058387"
"1121","21130615"
"1122","21036402"
"1123","21023743"
"1124","21046844"
"1125","21150381"
"1126","21140317"
"1127","21184542"
"1128","20998886"
"1129","20984114"
